pid,name,create_time,cores,cpu_usage,status,nice,memory_usage,n_threads,username
2139,evolution-alarm-notify,2021-03-02 21:06:31,4,0.0,sleeping,0,3411968,6,ramos
2148,gsd-printer,2021-03-02 21:06:31,4,0.0,sleeping,0,610304,3,ramos
2177,teams,2021-03-02 21:06:31,4,0.0,sleeping,0,169365504,32,ramos
2209,xdg-document-portal,2021-03-02 21:06:31,4,0.0,sleeping,0,651264,7,ramos
2225,teams,2021-03-02 21:06:31,4,0.0,sleeping,0,8192,1,ramos
2237,teams,2021-03-02 21:06:32,4,0.0,sleeping,0,94208,1,ramos
2384,teams,2021-03-02 21:06:34,4,0.0,sleeping,0,9883648,10,ramos
2392,teams,2021-03-02 21:06:34,4,0.0,sleeping,0,9621504,6,ramos
2422,teams,2021-03-02 21:06:34,4,0.0,sleeping,0,3047424,12,ramos
2441,boltd,2021-03-02 21:06:35,4,0.0,sleeping,0,0,3,root
3392,update-notifier,2021-03-02 21:07:31,4,0.0,sleeping,0,4096000,4,ramos
3629,chrome,2021-03-02 21:22:28,4,0.0,sleeping,0,234590208,30,ramos
3635,cat,2021-03-02 21:22:28,4,0.0,sleeping,0,8192,1,ramos
3636,cat,2021-03-02 21:22:28,4,0.0,sleeping,0,24576,1,ramos
3639,chrome,2021-03-02 21:22:28,4,0.0,sleeping,0,8192,1,ramos
3640,chrome,2021-03-02 21:22:28,4,0.0,sleeping,0,8192,1,ramos
3641,nacl_helper,2021-03-02 21:22:28,4,0.0,sleeping,0,53248,1,ramos
3644,chrome,2021-03-02 21:22:28,4,0.0,sleeping,0,167936,1,ramos
3664,chrome,2021-03-02 21:22:29,4,0.0,sleeping,0,101249024,12,ramos
3668,chrome,2021-03-02 21:22:29,4,0.0,sleeping,0,41431040,9,ramos
3684,chrome,2021-03-02 21:22:29,4,0.0,sleeping,0,6508544,5,ramos
4033,chrome,2021-03-02 21:22:49,4,0.0,sleeping,0,4632576,6,ramos
4761,gnome-calendar,2021-03-02 21:37:19,4,0.0,sleeping,0,2912256,6,ramos
12216,gvfsd-network,2021-03-03 10:20:06,4,0.0,sleeping,0,634880,4,ramos
12230,gvfsd-dnssd,2021-03-03 10:20:07,4,0.0,sleeping,0,512000,3,ramos
16675,dbus-launch,2021-03-03 11:34:03,4,0.0,sleeping,0,0,1,root
16676,dbus-daemon,2021-03-03 11:34:03,4,0.0,sleeping,0,0,1,root
18326,gvfsd-http,2021-03-03 11:44:42,4,0.0,sleeping,0,552960,3,ramos
18467,xdg-desktop-portal,2021-03-03 11:46:42,4,0.0,sleeping,0,2519040,6,ramos
18471,xdg-desktop-portal-gtk,2021-03-03 11:46:42,4,0.0,sleeping,0,3825664,4,ramos
20440,gdm-session-worker,2021-03-03 12:33:52,4,0.0,sleeping,0,0,3,root
32571,loop20,2021-03-03 15:29:28,4,0.0,sleeping,-20,0,1,root
42737,gvfsd-google,2021-03-03 18:42:32,4,0.0,sleeping,0,103911424,4,ramos
53930,loop21,2021-03-04 10:29:07,4,0.0,sleeping,-20,0,1,root
55675,telegram-desktop,2021-03-04 10:48:22,4,0.0,sleeping,0,133648384,26,ramos
55705,Discord,2021-03-04 10:48:27,4,0.0,sleeping,0,39530496,33,ramos
55777,Discord,2021-03-04 10:48:27,4,0.0,sleeping,0,73728,1,ramos
55778,Discord,2021-03-04 10:48:27,4,0.0,sleeping,0,778240,1,ramos
55803,Discord,2021-03-04 10:48:28,4,0.0,sleeping,0,24469504,10,ramos
55811,Discord,2021-03-04 10:48:28,4,0.0,sleeping,0,8732672,5,ramos
55878,Discord,2021-03-04 10:48:31,4,0.0,sleeping,0,10498048,5,ramos
56064,Discord,2021-03-04 10:48:31,4,0.0,sleeping,0,714874880,28,ramos
58520,seahorse,2021-03-04 11:08:02,4,0.0,sleeping,0,17649664,4,ramos
72819,gdm-session-worker,2021-03-04 15:17:40,4,0.0,sleeping,0,0,3,root
85570,wpa_supplicant,2021-03-05 08:54:09,4,0.0,sleeping,0,0,1,root
97420,chrome,2021-03-05 11:17:57,4,0.0,sleeping,0,27004928,13,ramos
101012,gdm-session-worker,2021-03-05 13:04:04,4,0.0,sleeping,0,0,3,root
101208,loop22,2021-03-05 13:06:02,4,0.0,sleeping,-20,0,1,root
101314,snapd,2021-03-05 13:08:00,4,0.0,sleeping,0,0,19,root
102322,loop14,2021-03-05 13:11:25,4,0.0,sleeping,-20,0,1,root
116463,gdm-session-worker,2021-03-06 17:34:37,4,0.0,sleeping,0,0,3,root
116732,gdm-session-worker,2021-03-06 17:44:41,4,0.0,sleeping,0,0,3,root
126582,chrome,2021-03-08 10:32:31,4,0.0,sleeping,0,36659200,12,ramos
163487,kworker/u9:1-hci0,2021-03-09 15:33:31,4,0.0,idle,-20,0,1,root
170890,chrome,2021-03-09 18:51:22,4,0.0,sleeping,0,44068864,11,ramos
171026,chrome,2021-03-09 18:51:33,4,0.0,sleeping,0,13152256,11,ramos
171037,chrome,2021-03-09 18:51:33,4,0.0,sleeping,0,36478976,11,ramos
171048,chrome,2021-03-09 18:51:33,4,0.0,sleeping,0,7815168,11,ramos
