pid,name,create_time,cores,cpu_usage,nice,memory_usage,n_threads,childrens,username,FinishTime
26364,kworker/3:3-events,2021-05-09 12:24:23,1,0.0,0,0.0,1,[],root,1620556181
26366,kworker/u9:0,2021-05-09 12:24:24,4,0.0,-20,0.0,1,[],root,1620556181
20901,kworker/3:2-events,2021-05-09 11:35:40,1,0.2,0,0.0,1,[],root,1620556313
26365,kworker/3:4-events,2021-05-09 12:24:23,1,0.0,0,0.0,1,[],root,1620556313
26106,kworker/0:1-events,2021-05-09 12:15:07,1,0.2,0,0.0,1,[],root,1620556353
26674,kworker/0:2-events,2021-05-09 12:27:20,1,0.0,0,0.0,1,[],root,1620556353
26675,kworker/0:4-events,2021-05-09 12:27:20,1,0.0,0,0.0,1,[],root,1620556353
26081,kworker/2:0-events,2021-05-09 12:13:11,1,1.4,0,0.0,1,[],root,1620556366
26720,kworker/2:2-events,2021-05-09 12:27:34,1,0.0,0,0.0,1,[],root,1620556366
26281,kworker/u8:0-events_power_efficient,2021-05-09 12:22:35,4,0.2,0,0.0,1,[],root,1620556405
26350,kworker/2:1-events,2021-05-09 12:24:19,1,0.0,0,0.0,1,[],root,1620556405
26778,kworker/u9:0,2021-05-09 12:29:37,4,0.0,-20,0.0,1,[],root,1620556495
26884,systemd-udevd,2021-05-09 12:35:29,4,0.0,0,0.0,1,[],root,1620556548
26886,colord-sane,2021-05-09 12:35:29,4,0.0,0,0.0,5,[],colord,1620556548
26896,systemd-udevd,2021-05-09 12:35:30,4,0.0,0,0.0,1,[],root,1620556548
26900,nm-dispatcher,2021-05-09 12:35:30,4,0.0,0,0.0,3,[],root,1620556548
25672,chrome,2021-05-09 12:00:07,4,12.5,0,14258176.0,12,[],ramos,1620556695
26599,chrome,2021-05-09 12:27:03,4,0.0,0,4325376.0,10,[],ramos,1620556695
27070,chrome,2021-05-09 12:38:15,4,0.0,0,9895936.0,12,[],ramos,1620556721
27101,chrome,2021-05-09 12:38:47,4,0.0,0,11034624.0,12,[],ramos,1620556746
26360,kworker/1:1-events,2021-05-09 12:24:23,1,0.0,0,0.0,1,[],root,1620556760
27040,chrome,2021-05-09 12:38:01,4,0.0,0,995328.0,4,[],ramos,1620556825
23916,kworker/2:4-events,2021-05-09 11:47:01,1,2.2,0,0.0,1,[],root,1620556838
26854,kworker/2:0-events,2021-05-09 12:33:52,1,0.5,0,0.0,1,[],root,1620556838
26885,kworker/3:2,2021-05-09 12:35:29,1,0.0,0,0.0,1,[],root,1620556838
26363,kworker/3:0-cgroup_destroy,2021-05-09 12:24:23,1,0.2,0,0.0,1,[],root,1620556851
26935,kworker/0:1,2021-05-09 12:35:31,1,0.0,0,0.0,1,[],root,1620556851
27194,chrome,2021-05-09 12:43:45,4,0.0,0,11014144.0,12,[],ramos,1620557043
26867,kworker/u9:0,2021-05-09 12:34:46,4,0.0,-20,0.0,1,[],root,1620557120
25870,chrome,2021-05-09 12:05:53,4,6.0,0,18825216.0,12,[],ramos,1620557263
27310,chrome,2021-05-09 12:47:39,4,0.0,0,28213248.0,6,[],ramos,1620557276
27317,chrome,2021-05-09 12:47:47,4,0.0,0,9461760.0,12,[],ramos,1620557289
26745,kworker/u8:1-phy0,2021-05-09 12:28:14,4,0.2,0,0.0,1,[],root,1620557329
27264,chrome,2021-05-09 12:47:30,4,0.0,0,1003520.0,4,[],ramos,1620557394
27227,kworker/u9:0,2021-05-09 12:45:09,4,0.0,-20,0.0,1,[],root,1620557432
27432,chrome,2021-05-09 12:51:32,4,0.0,0,11001856.0,12,[],ramos,1620557510
26557,kworker/0:0-events,2021-05-09 12:26:45,1,0.0,0,0.0,1,[],root,1620557577
27386,kworker/u9:0,2021-05-09 12:50:20,4,0.0,-20,0.0,1,[],root,1620557735
27185,kworker/u8:0-events_power_efficient,2021-05-09 12:43:35,4,0.2,0,0.0,1,[],root,1620557917
27565,chrome,2021-05-09 12:58:46,4,0.0,0,11051008.0,12,[],ramos,1620557943
17793,chrome,2021-05-09 10:23:45,4,15.6,0,67956736.0,13,[],ramos,1620557969
17817,chrome,2021-05-09 10:23:52,4,2.9,0,34115584.0,15,[],ramos,1620557995
27616,chrome,2021-05-09 12:59:32,4,0.0,0,9179136.0,12,[],ramos,1620557995
27509,kworker/u9:0,2021-05-09 12:55:31,4,0.0,-20,0.0,1,[],root,1620558048
27697,chrome,2021-05-09 13:04:51,4,0.9,0,11186176.0,12,[],ramos,1620558334
18285,kworker/u8:2-events_unbound,2021-05-09 10:35:13,4,0.7,0,0.0,1,[],root,1620558359
27644,kworker/u9:0,2021-05-09 13:00:43,4,0.0,-20,0.0,1,[],root,1620558359
27578,kworker/u8:0-ext4-rsv-conversion,2021-05-09 12:58:51,4,0.1,0,0.0,1,[],root,1620558643
27750,kworker/u9:0,2021-05-09 13:05:59,4,0.0,-20,0.0,1,[],root,1620558669
27821,kworker/u9:0,2021-05-09 13:11:05,4,0.0,-20,0.0,1,[],root,1620558989
27810,kworker/u8:0-events_power_efficient,2021-05-09 13:10:39,4,0.1,0,0.0,1,[],root,1620559167
27945,chrome,2021-05-09 13:20:19,4,0.0,0,9842688.0,12,[],ramos,1620559243
27887,kworker/u9:0,2021-05-09 13:16:18,4,0.0,-20,0.0,1,[],root,1620559294
28129,chrome,2021-05-09 13:31:05,4,0.0,0,11042816.0,12,[],ramos,1620559882
28120,chrome,2021-05-09 13:30:52,4,0.0,0,1032192.0,4,[],ramos,1620559989
27283,chrome,2021-05-09 12:47:37,4,36.7,0,50982912.0,12,[],ramos,1620560028
27295,chrome,2021-05-09 12:47:38,4,38.8,0,49885184.0,12,[],ramos,1620560028
28244,chrome,2021-05-09 13:33:50,4,0.0,0,9838592.0,12,[],ramos,1620560055
28296,dpkg,2021-05-09 13:34:01,4,0.0,0,0.0,1,[],root,1620560068
28256,sudo,2021-05-09 13:33:55,4,0.0,0,0.0,1,[28257],root,1620560081
28257,apt,2021-05-09 13:33:55,4,1.8,0,0.0,1,"[29514, 28296]",root,1620560081
28838,tracker-extract,2021-05-09 13:34:19,4,0.0,19,18939904.0,17,[],ramos,1620560081
29514,apt,2021-05-09 13:34:24,4,0.0,0,0.0,1,[29527],root,1620560081
29527,sh,2021-05-09 13:34:24,4,0.0,0,0.0,1,[29529],root,1620560081
29529,update-motd-upd,2021-05-09 13:34:24,4,0.0,0,0.0,1,[29543],root,1620560081
29543,apt-check,2021-05-09 13:34:24,4,0.0,19,0.0,1,[29649],root,1620560081
28818,tracker-store,2021-05-09 13:34:19,4,0.0,0,20762624.0,5,[],ramos,1620560094
27089,chrome,2021-05-09 12:38:36,4,5.7,0,50425856.0,12,[],ramos,1620560352
30108,chrome,2021-05-09 13:39:08,4,0.0,0,10334208.0,11,[],ramos,1620560365
18855,kworker/u8:3-events_unbound,2021-05-09 10:49:36,4,1.0,0,0.0,1,[],root,1620560378
27316,kworker/0:1-events,2021-05-09 12:47:42,1,0.0,0,0.0,1,[],root,1620560378
29521,packagekitd,2021-05-09 13:34:24,4,0.0,0,0.0,3,[],root,1620560378
27982,kworker/u9:0,2021-05-09 13:21:39,4,0.0,-20,0.0,1,[],root,1620560561
25356,kworker/3:1-events,2021-05-09 11:52:59,1,0.2,0,0.0,1,[],root,1620560693
27649,kworker/u8:1-events_power_efficient,2021-05-09 13:00:54,4,0.3,0,0.0,1,[],root,1620560693
30248,gnome-calculator-search-provider,2021-05-09 13:44:59,4,0.0,0,9695232.0,3,[],ramos,1620560732
30249,org.gnome.Chara,2021-05-09 13:44:59,4,0.1,0,17022976.0,7,[],ramos,1620560732
30247,gnome-control-center-search-provider,2021-05-09 13:44:59,4,0.0,0,9801728.0,3,[],ramos,1620560771
30210,kworker/u9:0,2021-05-09 13:42:29,4,0.0,-20,0.0,1,[],root,1620560861
30482,chrome,2021-05-09 13:47:30,4,0.0,0,9895936.0,12,[],ramos,1620560874
24747,fwupd,2021-05-09 11:48:00,4,0.2,0,0.0,5,[],root,1620560887
30511,chrome,2021-05-09 13:48:03,4,0.0,0,11038720.0,12,[],ramos,1620560900
27052,chrome,2021-05-09 12:38:07,4,5.8,0,38649856.0,12,[],ramos,1620560981
30598,chrome,2021-05-09 13:49:32,4,5.5,0,51843072.0,12,[],ramos,1620561007
30805,chrome,2021-05-09 13:49:40,4,0.0,0,9883648.0,12,[],ramos,1620561007
30822,chrome,2021-05-09 13:49:56,4,0.0,0,39043072.0,12,[],ramos,1620561021
30284,kworker/u8:1-i915,2021-05-09 13:45:02,4,0.0,0,0.0,1,[],root,1620561035
30836,chrome,2021-05-09 13:50:07,4,0.0,0,10035200.0,12,[],ramos,1620561049
30847,chrome,2021-05-09 13:50:09,4,35.2,0,49684480.0,11,[],ramos,1620561089
30896,chrome,2021-05-09 13:51:12,4,0.0,0,10268672.0,11,[],ramos,1620561089
30932,chrome,2021-05-09 13:51:37,4,0.0,0,10969088.0,12,[],ramos,1620561116
26219,kworker/0:3-events,2021-05-09 12:19:06,1,0.3,0,0.0,1,[],root,1620561142
26721,kworker/2:3-events,2021-05-09 12:27:34,1,3.3,0,0.0,1,[],root,1620561142
26918,kworker/2:1-events,2021-05-09 12:35:31,1,0.0,0,0.0,1,[],root,1620561142
30472,kworker/2:2-events,2021-05-09 13:47:19,1,0.0,0,0.0,1,[],root,1620561142
30475,kworker/0:2-events,2021-05-09 13:47:19,1,0.0,0,0.0,1,[],root,1620561142
30476,kworker/0:4-events,2021-05-09 13:47:19,1,0.0,0,0.0,1,[],root,1620561142
