EventId,EventTemplate,Occurrences
5fa1a89f,Starting Online ext4 Metadata Check for All Filesystems...,1
6cfe88d0,Jobs will be executed sequentially,1
6fc74aad,Starting Refresh fwupd metadata and update motd...,1
4ebfb0b4,Starting Message of the Day...,1
fbf5da3f,Starting Rotate log files...,1
eaabf0c7,Starting Daily man-db regeneration...,1
99b69b4d,e2scrub_all.service: Succeeded.,1
f5647969,Finished Online ext4 Metadata Check for All Filesystems.,1
f014f0e9,motd-news.service: Succeeded.,1
90d9c217,Finished Message of the Day.,1
712a2199,[57665.231306] PM: suspend exit,1
a72bbe95,<info> [1614505198.4394] device (enx00e04c6acbf8): DHCPv4: trying to acquire a new lease within 90 seconds,1
2254c94b,System resumed.,1
ca60d3d5,Stopped target Bluetooth.,2
a7dea74c,"[system] Activating via systemd: service name='org.freedesktop.fwupd' unit='fwupd.service' requested by ':1.401' (uid=62803 pid=65162 comm=""/usr/bin/fwupdmgr refresh --no-metadata-check "" label=""unconfined"")",1
cc5e21ad,Starting Firmware update daemon...,1
a90b4f78,Reached target Bluetooth.,2
0e42e049,/dev/sda:,1
7b08f5ca,setting Advanced Power Management level to 0xfe (254),1
04013d9f,APM_level#011= 254,1
472fd622,Stopping Make remote CUPS printers available locally...,1
11abb915,cups-browsed.service: Succeeded.,1
953eab6e,Stopped Make remote CUPS printers available locally.,1
29132530,Stopping CUPS Scheduler...,1
cd0b5573,systemd-suspend.service: Succeeded.,1
c204025e,Finished Suspend.,1
a4a70797,Stopped target Sleep.,1
af12af69,Reached target Suspend.,1
2aff419a,Stopped target Suspend.,1
c0be46d4,cups.service: Succeeded.,1
4309b8cb,Stopped CUPS Scheduler.,2
4ec126bc,cups.path: Succeeded.,1
6cb65778,Stopping CUPS Scheduler.,2
11847e22,Started CUPS Scheduler.,2
482c1b16,cups.socket: Succeeded.,1
559faec1,Closed CUPS Scheduler.,1
5bb5978e,Listening on CUPS Scheduler.,1
649c1249,Started Make remote CUPS printers available locally.,1
0996e290,[57665.439833] usb 1-6: Product: EgisTec Touch Fingerprint Sensor,1
